VehicleID,Location,Maker,Model,Year,Colour,Amount (Million Naira),Type,Distance
VHL18328,Abuja,Jaguar,XF,"2,011",Black,7.2,Nigerian Used,75412
VHL15569,Lagos,Toyota,Camry,"2,009",White,4.15,Foreign Used,63558
VHL17948,Ibadan,Honda,Accord,"2,017",Silver,6.3,Foreign Used,70123
VHL12399,Lagos,Toyota,Tacoma 4x4 Double Cab,"2,008",Blue,7.35,Foreign Used,
VHL13850,Abuja,Honda,CR-V 2 4WD Automatic,"2,001",Black,1.3,Nigerian Used,
VHL11341,Lagos,Lexus,GX 470 Sport Utility,"2,006",White,6.5,Foreign Used,823102
VHL15172,Abuja,Toyota,Highlander Limited V6 FWD,"2,004",Silver,2.4,Nigerian Used,159658
VHL13721,Abuja,Lexus,LX 570 AWD,"2,020",Black,135,Nigerian Used,19000
VHL10648,Lagos,Honda,Accord,"2,014",Black,4.28,Nigerian Used,80244
VHL12298,Lagos,Lexus,ES 350,"2,009",Black,4.75,Foreign Used,
VHL16493,Lagos,Toyota,Highlander Hybrid Limited,"2,010",Silver,6.5,Foreign Used,142508
VHL18247,Lagos,Lexus,RX 350 FWD,"2,013",Red,10.2,Foreign Used,
VHL19079,Lagos,Acura,RDX,"2,014",Green,9,Foreign Used,85000
VHL14054,Abuja,Lexus,RX 300 4WD,"2,001",Silver,2.85,Foreign Used,120000
VHL10618,Lagos,Toyota,Camry,"2,007",Red,3.5,Foreign Used,
VHL15583,Lagos,Lexus,RX,"2,011",Blue,9.4,Foreign Used,32154
VHL12813,Lagos,Lexus,RX 350L 4WD,"2,020",White,27,Foreign Used,2536
VHL17265,Lagos,Lexus,GX,"2,015",Black,13.5,Nigerian Used,15000
VHL10779,Lagos,Toyota,RAV4,"2,013",Blue,8.99,Foreign Used,95000
VHL15603,Lagos,Toyota,Hilux SR 4x4,"2,016",Black,18,Nigerian Used,65680
VHL11017,Abuja,Toyota,Camry,"2,008",Silver,2.4,Nigerian Used,
VHL13731,Abuja,Toyota,Venza AWD,"2,011",White,7.7,Foreign Used,
VHL13045,Lagos,Lexus,RX,"2,007",Gold,5.7,Foreign Used,93758
VHL16337,Ibadan,Toyota,Camry,"2,012",Red,4.5,Foreign Used,
VHL18566,Abuja,Cadillac,CTS,"2,013",Silver,15,Foreign Used,
VHL18555,Ibadan,Toyota,Corolla,"2,012",Gray,4.2,Foreign Used,
VHL14410,Lagos,Lexus,RX 350 AWD,"2,013",Purple,10.5,Foreign Used,75000
VHL10730,Lagos,Mercedes-Benz,M Class ML 350 4Matic,"2,013",Gray,12.8,Foreign Used,
VHL14958,Ibadan,Ford,Escape Titanium FWD,"2,016",Black,6,Nigerian Used,74000
VHL19156,Ibadan,Volkswagen,Golf,"2,002",Blue,1.2,Nigerian Used,145245
VHL14518,Lagos,Lexus,LX 570 (5 Seats) AWD,"2,021",Black,95,Brand New,
VHL18129,Abuja,Toyota,Matrix,"2,004",Silver,1.5,Nigerian Used,162584
VHL16443,Ibadan,Nissan,Pick-Up,"1,986",Blue,3,Foreign Used,
VHL16920,Abuja,Toyota,Highlander,"2,003",Silver,2.75,Nigerian Used,120447
VHL19306,Ibadan,Ford,Explorer,"2,013",Black,4.73,Nigerian Used,113744
VHL18014,Lagos,Lexus,RX 350,"2,011",White,8.6,Foreign Used,135482
VHL13517,Abuja,Mercedes-Benz,M Class ML 350 4Matic,"2,013",Blue,16,Foreign Used,
VHL17522,Abuja,Toyota,Hilux,"2,013",White,9.5,Nigerian Used,
VHL12865,Lagos,Toyota,Camry,"2,005",Silver,2.75,Foreign Used,95322
VHL16908,Lagos,Lexus,RX,"2,019",Gray,22.85,Foreign Used,28532
VHL19378,Lagos,Lexus,GX 460 Luxury,"2,017",Silver,29,Foreign Used,
VHL10458,Abuja,Toyota,Corolla Verso,"2,005",Gray,4.45,Foreign Used,
VHL14719,Abuja,Toyota,Highlander V6 4x4,"2,006",Gold,4.1,Foreign Used,120000
VHL19977,Lagos,Mercedes-Benz,C300,"2,008",Gray,3.71,Nigerian Used,1305
VHL15575,Lagos,Lexus,RX 350 AWD,"2,015",Brown,13.5,Foreign Used,63691
VHL16390,Abuja,Toyota,Venza,"2,012",Red,8,Foreign Used,53222
VHL17224,Lagos,Lexus,RX 350,"2,008",Gray,5.9,Foreign Used,56284
VHL12696,Ibadan,Toyota,Sienna,"2,006",Gold,3.1,Foreign Used,96000
VHL14719,Lagos,Lexus,LX 570,"2,009",Black,13.2,Nigerian Used,89454
VHL18295,Abuja,Toyota,Sienna,"2,008",Green,1.9,Nigerian Used,
VHL11851,Abuja,Toyota,Hilux,"2,013",White,,Nigerian Used,
VHL16654,Abuja,Mercedes-Benz,GLK-Class,"2,013",Black,11.5,Foreign Used,50787
VHL15573,Lagos,Lexus,RX 350 AWD,"2,008",Gray,5.5,Foreign Used,85000
VHL12436,Abuja,Toyota,Camry,"2,012",Black,4.65,Foreign Used,68123
VHL14401,Abuja,Toyota,Camry,"2,013",Black,5.5,Foreign Used,55648
VHL10936,Lagos,Honda,CR-V EX 4dr SUV (2.4L 4cyl 5A),"2,013",Gray,4.5,Nigerian Used,104281
VHL11012,Lagos,Toyota,Sienna XLE AWD 7-Passenger,"2,013",Blue,7.7,Foreign Used,
VHL19433,Abuja,BMW,320i,"2,013",White,7.95,Foreign Used,72000
VHL17298,Abuja,Toyota,Corolla Verso 1.8,"2,006",Black,3.38,Foreign Used,190936
VHL18231,Lagos,Toyota,Highlander Limited V6 4x4,"2,007",Red,4.6,Foreign Used,28521
VHL10164,Abuja,Lexus,RX 350 AWD,"2,019",White,25,Foreign Used,29050
VHL10273,Lagos,Lexus,RX,"2,010",Black,9.2,Foreign Used,
VHL15766,Lagos,Lexus,RX 350,"2,011",Beige,9.3,Foreign Used,75000
VHL19170,Abuja,Hyundai,Sonata,"2,010",Silver,4,Foreign Used,91000
VHL10339,Lagos,Lexus,ES 350,"2,008",Gray,4.65,Foreign Used,86000
VHL19149,Abuja,Toyota,Camry,"2,015",Black,9,Foreign Used,33000
VHL17503,Abuja,Toyota,Camry,"2,008",Silver,2.5,Nigerian Used,50000
VHL10506,Abuja,Honda,Accord Crosstour,"2,009",Red,2.5,Nigerian Used,131211
VHL15348,Lagos,Hyundai,Santa Fe 2.7 V6 GLS 4WD,"2,006",Blue,3.38,Nigerian Used,283219
VHL13477,Abuja,Mercedes-Benz,G-Class,"2,015",Gray,68,Nigerian Used,35000
VHL16870,Lagos,Toyota,Tacoma TRD Sport,"2,018",Gray,23,Foreign Used,
VHL18503,Lagos,Toyota,Highlander Limited,"2,012",Red,10,Foreign Used,50000
VHL19623,Lagos,Toyota,RAV4 Limited,"2,011",Black,6.3,Foreign Used,54177
VHL16015,Lagos,Toyota,Venza,"2,013",Black,8.07,,60714
VHL17480,Lagos,Nissan,Pathfinder LE AWD SUV (3.5L 6cyl 4A),"2,002",White,1.45,Foreign Used,105300
VHL16638,Abuja,Toyota,Camry,"2,004",Silver,2.8,Foreign Used,
VHL10508,Lagos,Mercedes-Benz,C180,"2,002",Silver,1.46,Foreign Used,136833
VHL11278,Lagos,Chevrolet,Uplander LT,"2,005",Gray,0.8,Nigerian Used,963200
VHL15837,Abuja,Rolls-Royce,Rolls-Royce Phantom,"2,021",Gray,456,Brand New,
VHL10783,Abuja,BMW,X3,"2,013",Red,5,Nigerian Used,95000
VHL18030,Ibadan,Toyota,Camry,"2,008",Blue,3.5,Foreign Used,
VHL12013,Ibadan,Toyota,Tacoma,"1,997",White,3.2,Foreign Used,81680
VHL11922,Lagos,Lexus,RX,"2,014",Red,12.5,Foreign Used,74534
VHL17246,Abuja,Ford,F-250,"2,007",Black,5.2,Foreign Used,86952
VHL17657,Lagos,Toyota,Camry,"2,015",Blue,7.7,Foreign Used,100000
VHL11508,Lagos,Lexus,GX 460,"2,011",Black,15,Foreign Used,
VHL19080,Abuja,Peugeot,206 SW,"2,003",Gray,1.4,Foreign Used,
VHL19162,Lagos,Toyota,Highlander,"2,011",Black,10,Foreign Used,82413
VHL11608,Ibadan,Toyota,Camry,"2,004",Blue,2.4,Foreign Used,131245
VHL19362,Lagos,Toyota,Sienna XLE Limited 4WD,"2,007",Green,2.45,Nigerian Used,75424
VHL16499,Abuja,Mercedes-Benz,CLK 350 Coupe,"2,007",Black,1.7,Nigerian Used,
VHL11204,Ibadan,Toyota,Camry,"2,005",Green,2.7,Foreign Used,
VHL10960,Lagos,Toyota,Venza V6,"2,011",Gray,7.1,Foreign Used,90345
VHL10808,Abuja,Mercedes-Benz,C400,"2,016",Silver,22,Brand New,41000
VHL19119,Abuja,Mercedes-Benz,C300,"2,018",Black,16,Foreign Used,22357
VHL15669,Lagos,Mercedes-Benz,GLK-Class 350 4MATIC,"2,010",Gray,8,Foreign Used,
VHL10909,Lagos,Toyota,Venza V6 AWD,"2,010",Brown,6.2,Foreign Used,64070
VHL11387,Ibadan,Honda,Accord Touring,"2,018",Blue,17.5,Foreign Used,
VHL14494,Abuja,Lexus,RX,"2,018",Gray,24.5,Foreign Used,
VHL13105,Ibadan,Honda,Accord 2.4 Automatic,"2,003",Gray,1.24,Nigerian Used,302117
VHL19869,Abuja,Land Rover,Range Rover Sport,"2,015",White,25,Foreign Used,52215
VHL19269,Abuja,Honda,Accord,"2,016",Gray,7.3,Foreign Used,41653
VHL17267,Abuja,Toyota,Corolla,"2,003",Silver,1.6,Nigerian Used,124252
VHL18071,Lagos,Toyota,Venza V6,"2,009",Red,4.95,Nigerian Used,75984
VHL17693,Lagos,Lexus,RX 350 FWD,"2,017",Gray,19,Foreign Used,
VHL10192,Abuja,Mercedes-Benz,E350,"2,013",Blue,7,Foreign Used,
VHL14340,Lagos,Mercedes-Benz,GL-Class GL 450,"2,007",Black,5.06,Nigerian Used,176121
VHL16238,Abuja,Mercedes-Benz,GLK-Class 350 4MATIC,"2,011",Gold,7.31,Foreign Used,
VHL12634,Lagos,Lexus,LX 570 (5 Seats) AWD,"2,019",Gray,60,Foreign Used,
VHL18267,Lagos,Mercedes-Benz,E300,"2,017",Black,19.85,Foreign Used,
VHL19932,Abuja,Mercedes-Benz,M Class ML 500 4Matic,"2,007",Black,3.94,Nigerian Used,169054
VHL19035,Ibadan,Lexus,ES,"2,003",Silver,2.25,,79002
VHL15252,Abuja,Honda,Accord,"2,016",Red,7.95,Foreign Used,105000
VHL19906,Abuja,Honda,Accord,"2,009",Green,3.2,Foreign Used,75000
VHL16255,Abuja,Mercedes-Benz,E350,"2,005",Gold,1.75,Nigerian Used,78452
VHL12880,Lagos,Lexus,ES 350,"2,009",Red,4.65,Foreign Used,
VHL19878,Lagos,Lexus,RX 350 FWD,"2,013",White,12,Foreign Used,100000
VHL10629,Abuja,Hyundai,Sonata,"2,013",White,4.3,Foreign Used,174864
VHL12591,Lagos,Lexus,ES 350 Crafted Line FWD,"2,015",Blue,10.65,Foreign Used,62668
VHL12250,Lagos,Acura,MDX,"2,009",Silver,4.4,Foreign Used,49858
VHL16662,Abuja,Mercedes-Benz,E350,"2,011",Gray,8.5,Foreign Used,31500
VHL10041,Abuja,Toyota,Sienna,"2,008",White,3.7,Foreign Used,
VHL18373,Lagos,Toyota,Tacoma Double Cab V6 Automatic,"2,010",Red,8.6,Foreign Used,
VHL18446,Lagos,Ford,Escape Limited,"2,010",Black,2.81,Nigerian Used,280188
VHL18354,Lagos,Toyota,Camry,"2,003",Silver,2.7,Foreign Used,151679
VHL16620,Lagos,Lexus,ES 350,"2,009",Black,4.65,Foreign Used,
VHL15048,Abuja,Jeep,Liberty 2.4,"2,003",Blue,1.75,Nigerian Used,
VHL11419,Abuja,Lexus,IS,"2,009",White,5,Foreign Used,45000
VHL17243,Lagos,Lexus,RX 350L Luxury AWD,"2,019",Black,22.8,Foreign Used,89227
VHL16070,Abuja,Toyota,Sienna XLE AWD,"2,009",Black,2.6,Nigerian Used,
VHL19651,Abuja,Ford,Escape,"2,014",Silver,3.5,Nigerian Used,154568
VHL11621,Lagos,Toyota,Camry,"2,007",Gold,3.7,Foreign Used,82062
VHL15254,Lagos,Lexus,ES 350,"2,008",Black,4.6,Foreign Used,63258
VHL14913,Abuja,Nissan,Murano SE,"2,006",Red,1.45,Nigerian Used,64000
VHL12540,Abuja,Lexus,RX 350 AWD,"2,012",Silver,10,Foreign Used,73453
VHL16314,Lagos,Lexus,ES 350,"2,009",White,4.8,Foreign Used,25000
VHL19609,Lagos,Mercedes-Benz,C250,"2,012",White,3.9,Nigerian Used,91214
VHL10376,Abuja,Lexus,ES 350 FWD,"2,013",Black,12.38,Foreign Used,10850
VHL16587,Lagos,Lexus,GX,"2,017",Silver,25,Foreign Used,
VHL16305,Lagos,Mercedes-Benz,GLS-Class GLS450 4Matic,"2,017",Green,38,Foreign Used,45000
VHL17527,Abuja,BMW,X6,"2,013",Blue,14.5,Foreign Used,64858
VHL19223,Lagos,Lexus,ES 350,"2,010",Black,4.95,Foreign Used,44132
VHL11981,Lagos,Mercedes-Benz,S-Class S 500 L (V221),"2,006",Silver,8.5,Foreign Used,
VHL17971,Lagos,Toyota,Highlander Limited,"2,012",Blue,8.3,Foreign Used,74690
VHL19625,Lagos,Lexus,GX 460 Luxury,"2,014",Red,18.7,Foreign Used,61000
VHL11856,Lagos,Mercedes-Benz,GL-Class,"2,015",Black,16.5,Foreign Used,
VHL12505,Abuja,Toyota,Land Cruiser Prado,"2,011",Black,14.5,Nigerian Used,50000
VHL12899,Abuja,Toyota,Camry LE FWD (2.5L 4cyl 8AM),"2,018",Gray,14,Foreign Used,61775
VHL13086,Lagos,Toyota,Highlander SE 4x4 V6 (3.5L 6cyl 8A),"2,018",White,18.5,Foreign Used,
VHL15207,Abuja,Toyota,Camry,"2,010",Blue,2.7,Nigerian Used,
VHL16633,Abuja,Toyota,Camry XLE V6 FWD,"2,020",Black,20,Foreign Used,4508
VHL13036,Abuja,Toyota,Corolla,"2,011",Gray,3.6,Nigerian Used,
VHL11410,Lagos,Mercedes-Benz,M Class ML 350 4Matic,"2,007",Blue,5,Foreign Used,122583
VHL17604,Abuja,Toyota,Camry,"2,017",Gray,8,Foreign Used,55393
VHL14481,Lagos,Mazda,MPV LX,"2,004",Gray,2.03,Nigerian Used,141216
VHL16777,Lagos,Toyota,Venza V6 AWD,"2,010",Gray,7.5,Foreign Used,
VHL14521,Lagos,Mitsubishi,Pajero 3,"2,010",Gold,2.48,Nigerian Used,179544
VHL14481,Lagos,Lexus,GX 470,"2,009",Gold,9.2,Foreign Used,84645
VHL18356,Ibadan,Toyota,Corolla,"2,009",Silver,3.12,Nigerian Used,89000
VHL12879,Abuja,Mercedes-Benz,GLK-Class,"2,011",Blue,7.4,Nigerian Used,
VHL14209,Lagos,Toyota,Highlander 4x4,"2,008",Blue,6,Foreign Used,63152
VHL17610,Lagos,Lexus,GS,"2,007",Silver,2.92,,242032
VHL14082,Lagos,Toyota,Camry,"2,009",Gray,4.05,Foreign Used,64344
VHL18941,Lagos,Toyota,Tacoma Double Cab V6 Automatic,"2,009",Brown,8.5,Foreign Used,85000
VHL12357,Abuja,Toyota,Land Cruiser 5.7 V8 VX-S,"2,020",Black,125,Brand New,
VHL16697,Lagos,Mercedes-Benz,M Class ML 350 4Matic Off,"2,012",White,13,Foreign Used,98524
VHL11259,Lagos,Lexus,IS,"2,007",Blue,3.61,,211824
VHL11148,Abuja,BMW,X6,"2,013",Black,11,Foreign Used,
VHL17090,Abuja,Toyota,Avensis 2 Advanced Automatic,"2,010",Black,2.85,Nigerian Used,
VHL14246,Lagos,Acura,MDX,"2,008",Blue,3.9,Foreign Used,
VHL16460,Lagos,Toyota,Sienna,"2,004",Green,2.36,Nigerian Used,100399
VHL12634,Abuja,Mercedes-Benz,M Class ML 350 4Matic,"2,008",Black,3.3,Nigerian Used,85000
VHL19243,Abuja,Toyota,Sienna,"2,006",Red,3,Foreign Used,98523
VHL17542,Ibadan,Mercedes-Benz,C300,"2,013",Black,6.38,Foreign Used,110000
VHL13736,Abuja,Honda,Accord,"2,017",Gray,6.8,Foreign Used,52143
VHL19700,Abuja,Lexus,IS 350 AWD,"2,015",Black,10,Foreign Used,
VHL18577,Lagos,Lexus,GX,"2,006",Silver,6.45,Foreign Used,74690
VHL18608,Abuja,Honda,Accord,"2,005",Gold,1.4,Nigerian Used,
VHL19136,Lagos,Lexus,RX 350 AWD,"2,009",Silver,5.4,Foreign Used,
VHL13951,Lagos,Toyota,RAV4,"2,015",White,10.45,Foreign Used,
VHL19110,Lagos,Lexus,IS 250,"2,007",Silver,4.5,Nigerian Used,108452
VHL16432,Abuja,Toyota,Camry XSE FWD (2.5L 4cyl 8AM),"2,018",Brown,16,Foreign Used,
VHL18201,Lagos,Lexus,GX 460 Premium,"2,012",Gray,17,Foreign Used,
VHL13868,Ibadan,Honda,Accord 2 Comfort Automatic,"2,008",Gray,1.35,Nigerian Used,
VHL10487,Abuja,Toyota,Sienna,"2,006",Gold,3.37,,156789
VHL13957,Abuja,Toyota,Corolla,"2,017",White,6.95,Foreign Used,52221
VHL13463,Abuja,Ford,Edge,"2,012",Black,3.45,Nigerian Used,98653
VHL15454,Lagos,Kia,Cadenza,"2,014",Gray,5.61,,52013
VHL18531,Abuja,Mercedes-Benz,E300,"2,017",Silver,28,Foreign Used,10010
VHL19246,Lagos,Lexus,ES 350,"2,011",Silver,6.1,Foreign Used,
VHL11564,Ibadan,Toyota,Corolla,"2,010",Silver,3.88,Foreign Used,185460
VHL16132,Lagos,Lexus,IS 350 AWD,"2,014",Gray,14.5,Foreign Used,
VHL17449,Abuja,Hyundai,Genesis,"2,013",Black,5.45,Foreign Used,45123
VHL16901,Abuja,Ford,Explorer,"2,006",Gray,2,Nigerian Used,80000
VHL14288,Lagos,Lexus,RX,"2,009",Red,3.2,Nigerian Used,98234
VHL13401,Abuja,Honda,Civic LX Sedan Automatic,"2,012",Gray,3.6,Foreign Used,
VHL13701,Abuja,Lexus,RX 350 AWD,"2,012",Black,9,Foreign Used,49000
VHL12013,Abuja,Toyota,Camry,"2,011",Gold,2.8,Nigerian Used,92828
VHL15793,Lagos,Lexus,RX 350 AWD,"2,012",Black,7.85,Nigerian Used,107542
VHL14075,Ibadan,Toyota,Camry,"2,007",Silver,2.4,Nigerian Used,99000
VHL14438,Abuja,Toyota,Avalon TRD,"2,020",Black,30,Brand New,7000
VHL12393,Lagos,Suzuki,Swift,"2,018",Black,7.1,,62
VHL17513,Lagos,Lexus,ES 350,"2,007",Silver,4.1,Foreign Used,100852
VHL18092,Lagos,Lexus,IS,"2,012",Black,6.2,Foreign Used,
VHL16827,Abuja,Mercedes-Benz,S-Class,"2,016",Black,45,Foreign Used,25000
VHL15453,Abuja,Toyota,Avalon Limited,"2,007",Gray,3.3,Nigerian Used,102536
VHL18631,Lagos,Lexus,RX,"2,017",Black,20,Foreign Used,20063
VHL12330,Abuja,Toyota,Corolla,"2,009",Silver,2.65,Nigerian Used,90000
VHL12366,Lagos,Toyota,Camry LE FWD (2.5L 4cyl 8AM),"2,018",White,13.25,Foreign Used,
VHL13133,Lagos,Toyota,Camry,"2,011",Gray,3.4,Foreign Used,96045
VHL14129,Abuja,Mercedes-Benz,E63,"2,021",Black,79,Brand New,
VHL17627,Abuja,Toyota,Corolla SE,"2,020",Black,19,Brand New,6128
VHL19907,Ibadan,Mazda,MPV,"2,005",Silver,1.95,Foreign Used,
VHL17578,Ibadan,Chevrolet,Camaro,"2,015",Yellow,12.5,Foreign Used,91000
VHL17982,Abuja,Rolls-Royce,Ghost Base EWB,"2,016",Gray,240,Foreign Used,26400
VHL18497,Lagos,Ford,Edge,"2,012",White,5.63,Foreign Used,1284898
VHL19377,Abuja,Lexus,RX 350 2WD,"2,020",Beige,32,Brand New,
VHL16311,Ibadan,Hyundai,Santa Fe,"2,008",Gray,2.2,Nigerian Used,
VHL15686,Lagos,Toyota,4-Runner,"2,018",Blue,27.5,Foreign Used,30000
VHL10970,Lagos,Toyota,Venza,"2,014",White,9.3,Foreign Used,48000
VHL10979,Abuja,Honda,Accord,"2,014",Gold,6.5,Foreign Used,
VHL16269,Lagos,Mercedes-Benz,M Class ML 350 4Matic,"2,008",Black,5.7,Foreign Used,80000
VHL18163,Lagos,Lexus,RX 350,"2,010",Ivory,9.5,Foreign Used,
VHL13506,Lagos,Land Rover,Range Rover Sport,"2,014",White,27,Foreign Used,
VHL11611,Lagos,Honda,Civic 1.8i-VTEC EXi Automatic,"2,006",White,1.69,Nigerian Used,160141
VHL16047,Abuja,Kia,Soul 4dr Wagon (1.6L 4cyl 6M),"2,014",Silver,6.8,Foreign Used,42513
VHL15222,Abuja,Toyota,Camry,"2,009",Green,3.7,Foreign Used,92000
VHL19949,Abuja,Mercedes-Benz,E350,"2,010",White,6.5,Foreign Used,65238
VHL12851,Abuja,Toyota,Picnic 2 FWD,"2,006",Blue,1.92,Nigerian Used,120420
VHL12926,Abuja,Lexus,ES 350,"2,009",Silver,4.8,Foreign Used,
VHL19354,Lagos,Lexus,IS 250 AWD Automatic,"2,010",Black,4.3,Foreign Used,96000
VHL13537,Lagos,Mercedes-Benz,M Class,"2,014",Black,15,Foreign Used,51000
VHL19604,Lagos,Lexus,GX 460 Luxury,"2,016",Black,23,Foreign Used,
VHL12028,Abuja,Mercedes-Benz,C300,"2,009",Black,4.3,Foreign Used,53000
VHL11759,Abuja,Toyota,Camry 2.4 LE,"2,008",Gray,2.6,Nigerian Used,
VHL17280,Abuja,Lexus,RX 350,"2,010",Silver,8.1,Foreign Used,
VHL13706,Lagos,Toyota,4-Runner Limited V6,"2,009",Gray,6,Foreign Used,85020
VHL10056,Abuja,Toyota,Corolla,"2,014",Green,5.8,Foreign Used,32000
VHL15891,Abuja,Mercedes-Benz,C300,"2,009",Black,5,Foreign Used,45000
VHL11707,Lagos,Toyota,4-Runner Limited V6,"2,005",Gray,5,Foreign Used,895231
VHL18958,Lagos,Mercedes-Benz,GLS-Class GLS450 4MATIC,"2,018",Black,56.25,Foreign Used,56263
VHL15038,Abuja,Honda,Civic Sedan EX,"2,013",Black,4.5,Foreign Used,
VHL18950,Abuja,Honda,Accord,"2,019",Gray,15,Foreign Used,
VHL19475,Lagos,Lexus,ES,"2,013",White,8.5,Foreign Used,
VHL16827,Lagos,Honda,Accord,"1,997",Silver,0.62,Nigerian Used,237637
VHL10753,Abuja,Lexus,ES 350,"2,008",White,4.3,Foreign Used,65000
VHL15491,Ibadan,Nissan,Micra,"2,002",Gold,1.85,Foreign Used,125000
VHL10658,Abuja,Toyota,4-Runner Limited,"2,004",Gray,1.3,Nigerian Used,1230000
VHL11818,Ibadan,Toyota,Corolla,"2,013",Gold,4.7,Foreign Used,70168
VHL18269,Lagos,Lexus,RX 350 AWD,"2,015",Silver,13.5,Foreign Used,
VHL17088,Abuja,BMW,3 Series,"2,010",Black,3.38,Foreign Used,261704
VHL11864,Abuja,Toyota,Venza V6,"2,009",Gold,6.1,Foreign Used,
VHL16436,Abuja,Toyota,Camry,"2,018",Silver,17.6,Foreign Used,33000
VHL14197,Lagos,Toyota,RAV4 2.5 Sport 4x4,"2,011",Gray,6.1,Foreign Used,65000
VHL13201,Lagos,Lexus,ES 350,"2,008",Silver,4,Foreign Used,71836
VHL16762,Abuja,Toyota,RAV4 Limited V6,"2,007",Black,2.65,Nigerian Used,136529
VHL15612,Lagos,Mercedes-Benz,GLE-Class,"2,017",Blue,27,Foreign Used,65000
VHL17089,Lagos,Toyota,Highlander Limited,"2,008",Gray,6.5,Foreign Used,
VHL10414,Abuja,Lexus,LX 570,"2,012",Gray,28.5,Foreign Used,
VHL19070,Abuja,Toyota,Camry,"2,010",White,4.1,Foreign Used,41235
VHL14915,Lagos,Mercedes-Benz,GLK-Class 350 4MATIC,"2,013",Red,11,Foreign Used,96000
VHL10414,Abuja,Mercedes-Benz,C350,"2,009",Gray,2.1,Nigerian Used,135511
VHL12655,Lagos,Mercedes-Benz,GLA-Class,"2,015",Gray,11.7,Foreign Used,85000
VHL19133,Lagos,Mercedes-Benz,GLA-Class,"2,015",Gray,16.5,Foreign Used,32000
VHL13248,Abuja,Honda,Accord,"2,014",Burgandy,4.4,Nigerian Used,95683
VHL19203,Abuja,Ford,Ranger,"2,018",Black,14.7,Foreign Used,42384
VHL18928,Abuja,Mercedes-Benz,E350,"2,014",Gray,14.5,Foreign Used,
VHL12940,Lagos,Lexus,GX,"2,007",Gray,7.3,Foreign Used,
VHL15774,Lagos,Toyota,Corolla Sedan Automatic,"2,004",Blue,1.8,Nigerian Used,258908
VHL13540,Abuja,Honda,Accord,"2,019",Gray,16.5,Foreign Used,25130
VHL15505,Lagos,Honda,Civic,"2,014",Red,3.5,Nigerian Used,79000
VHL19288,Abuja,Lexus,RX,"2,017",White,17.5,Nigerian Used,37000
VHL18348,Lagos,Acura,MDX,"2,012",Black,5.55,Foreign Used,65200
VHL15014,Abuja,Toyota,Matrix,"2,003",Green,1.91,Nigerian Used,133450
VHL17835,Lagos,Lexus,RX 350,"2,011",White,9.5,Foreign Used,
VHL10108,Abuja,Toyota,Corolla,"2,014",Black,6,Foreign Used,
VHL15906,Abuja,Toyota,Camry,"2,013",Black,4.35,Nigerian Used,
VHL11775,Ibadan,Toyota,Camry,"2,012",Black,5.2,Foreign Used,
VHL17529,Lagos,Toyota,Venza V6,"2,010",White,7.3,Foreign Used,
VHL13246,Abuja,Hyundai,Sonata,"2,014",Gray,3.85,Foreign Used,56225
VHL16785,Abuja,Toyota,Land Cruiser Prado,"2,021",Black,34.5,Brand New,1156
VHL19955,Lagos,Toyota,Tacoma TRD Off Road,"2,019",White,25,Foreign Used,42671
VHL10306,Abuja,Lexus,IS,"2,014",White,10.7,Foreign Used,73623
VHL13446,Lagos,Honda,Stream,"2,003",Silver,1.91,Foreign Used,196184
VHL17318,Abuja,Cadillac,Escalade,"2,020",Black,95,Foreign Used,11000
VHL14106,Lagos,Toyota,Camry,"2,013",Red,6.2,Foreign Used,63000
VHL10785,Lagos,Lexus,RX,"2,010",Black,8.5,Foreign Used,754365
VHL10715,Abuja,Mercedes-Benz,GLK-Class,"2,015",Black,11.2,Foreign Used,
VHL10675,Lagos,Lexus,RX 350 FWD,"2,014",Silver,12.7,Foreign Used,
VHL12737,Lagos,Ford,Edge,"2,013",Blue,4.1,Nigerian Used,
VHL15823,Abuja,Hyundai,Tucson Limited AWD,"2,016",Silver,10.2,Foreign Used,
VHL14986,Abuja,Honda,Pilot,"2,018",Silver,16.5,Foreign Used,22000
VHL10803,Ibadan,Toyota,Camry,"2,007",Gold,3.42,Foreign Used,
VHL15238,Abuja,Toyota,RAV4 LE AWD (2.5L 4cyl 6A),"2,013",Black,7.5,Foreign Used,100000
VHL14506,Lagos,Lexus,GX 460 Base,"2,013",Gray,12.7,Nigerian Used,25000
VHL14947,Lagos,Toyota,Camry 2.3 Hybrid,"2,007",Gold,3.6,Foreign Used,74053
VHL13566,Abuja,Mercedes-Benz,GL-Class GL 450,"2,008",Blue,6.19,Foreign Used,87432
VHL18328,Lagos,Toyota,Camry,"2,008",Blue,3.8,Foreign Used,
VHL13402,Ibadan,Toyota,RAV4 3.5 4x4,"2,010",Black,4.2,Foreign Used,95088
VHL16138,Abuja,Land Rover,Rover LR3 SE,"2,005",Silver,2,Nigerian Used,
VHL19929,Abuja,Lexus,SC 430,"2,002",Silver,2.6,Nigerian Used,101348
VHL17517,Lagos,Toyota,Corolla LE,"2,006",Blue,1.46,Nigerian Used,169259
VHL11437,Lagos,Mercedes-Benz,GLK-Class,"2,014",Black,10.55,Foreign Used,85000
VHL18348,Lagos,Mercedes-Benz,E350,"2,012",Black,5.63,Nigerian Used,69388
VHL16026,Ibadan,Toyota,Corolla,"2,013",Red,4.1,Nigerian Used,127312
VHL11614,Lagos,Lexus,ES 350,"2,008",Black,4.75,Foreign Used,82000
